sampleID	SequencingBatch	Sequencing run	fastq_fwd_file_name	fastq_rev_file_name	Site	Region	Latitude	Longitude	ApproximateShellLength	Age	CohortYear	TransplantationYear	TransplantationAge	YearsSpentAtTransplantationSite	AdditionalSiteInfo	AdditionalComments
TN17	Y2	HN00122531	CAL-S-Tn-5_1.fastq.gz	CAL-S-Tn-5_2.fastq.gz	Siapa	Calaguas	14.45175	122.98565								
TS01	Y1	HN00102818	SEMIRARA-Ts-12_1.fastq.gz	SEMIRARA-Ts-12_2.fastq.gz	Semirara	Antique	12.08708129	121.3460231								
TS02	Y1	HN00102818	SEMIRARA-Ts-14_1.fastq.gz	SEMIRARA-Ts-14_2.fastq.gz	Semirara	Antique	12.08708129	121.3460231								
TS03	Y1	HN00102818	SEMIRARA-Ts-15_1.fastq.gz	SEMIRARA-Ts-15_2.fastq.gz	Semirara	Antique	12.08708129	121.3460231								
TS04	Y1	HN00102818	SILAQUI-Ts-1_1.fastq.gz	SILAQUI-Ts-1_2.fastq.gz	Silaqui	Bolinao	16.44411667	119.9215333								
TS05	Y1	HN00102818	SILAQUI-Ts-2_1.fastq.gz	SILAQUI-Ts-2_2.fastq.gz	Silaqui	Bolinao	16.44411667	119.9215333								
TS06	Y1	HN00102818	SILAQUI-Ts-3_1.fastq.gz	SILAQUI-Ts-3_2.fastq.gz	Silaqui	Bolinao	16.44411667	119.9215333								
TS07	Y2	HN00122531	BAU-Tm-2_1.fastq.gz	BAU-Tm-2_2.fastq.gz	Bauan	Batangas	13.80308333	120.9117833								
TS08	Y2	HN00122531	BAU-Ts-1_1.fastq.gz	BAU-Ts-1_2.fastq.gz	Bauan	Batangas	13.80308333	120.9117833								
TS09	Y2	HN00122531	CAL-M-Ts-3_1.fastq.gz	CAL-M-Ts-3_2.fastq.gz	Mangkawayan	Calaguas	14.46246667	122.9573								
TS10	Y2	HN00122531	CAL-M-Ts-4_1.fastq.gz	CAL-M-Ts-4_2.fastq.gz	Mangkawayan	Calaguas	14.46246667	122.9573								
TS11	Y2	HN00122531	CAL-M-Ts-5_1.fastq.gz	CAL-M-Ts-5_2.fastq.gz	Mangkawayan	Calaguas	14.46246667	122.9573								
TS12	Y2	HN00122531	CAL-P-Ts-1_1.fastq.gz	CAL-P-Ts-1_2.fastq.gz	Pinagtigasan	Calaguas	14.4397167	122.9147167								
TS13	Y2	HN00122531	CAL-P-Ts-2_1.fastq.gz	CAL-P-Ts-2_2.fastq.gz	Pinagtigasan	Calaguas	14.4397167	122.9147167								
TS14	Y2	HN00122531	CAL-P-Ts-3_1.fastq.gz	CAL-P-Ts-3_2.fastq.gz	Pinagtigasan	Calaguas	14.4397167	122.9147167								
